epoch,train_loss,eval_loss,train_accuracy,train_macro_precision,train_macro_recall,train_macro_f1,train_weighted_recall,train_weighted_precision,train_weighted_f1,eval_accuracy,eval_macro_precision,eval_macro_recall,eval_macro_f1,eval_weighted_recall,eval_weighted_precision,eval_weighted_f1
26,1.4052659925424829,1.9849141823348178,0.6467363805026143,0.5662169867778689,0.40506723938966255,0.4353587746635582,0.6467363805026143,0.6386792309000806,0.6280398101491134,0.5268128161888701,0.33617109828552877,0.28608423016603335,0.2932837814380605,0.5268128161888701,0.497249550808999,0.4993206561815858
27,1.3516329017610884,1.9751096745972991,0.6653735874515095,0.6170944988483555,0.4374608825096267,0.4727207182551289,0.6653735874515095,0.6599409154755672,0.6485347238721298,0.5342327150084317,0.37444261274114066,0.30175568870515135,0.31509616969704085,0.5342327150084317,0.5129551138476364,0.510343322059585
28,1.3189401721375973,1.9639540500538324,0.6711081126665542,0.5987591158620673,0.44413431589296626,0.4794777464133432,0.6711081126665542,0.664426482330928,0.6549102863716623,0.5365935919055649,0.3765962237009248,0.30188366189620314,0.31419234022372144,0.5365935919055649,0.5211331839147181,0.5146300170711324
29,1.2684085648657497,1.9542541247542187,0.6776859504132231,0.6224463236914846,0.4568320059774756,0.49489977988944245,0.6776859504132231,0.6726727310504115,0.6631956798760151,0.5409780775716695,0.3673600428406589,0.3063331007338267,0.31611479358211786,0.5409780775716695,0.5197550399188176,0.5184798951101887
30,1.2368496034665892,1.9497717401032806,0.69185360094451,0.6482160721271117,0.472551853602789,0.514008139933513,0.69185360094451,0.6872095360802412,0.6773834577668748,0.5413153456998314,0.3823322476542897,0.3121119616999,0.3223763801361973,0.5413153456998314,0.5194663928670394,0.517997393752004
31,1.192446624814982,1.9379526299815024,0.7029853263619498,0.6650060780556151,0.4924606692383336,0.5321595209050083,0.7029853263619498,0.7003503897424281,0.6900113646466082,0.5389544688026982,0.3838076937966457,0.310219880591539,0.3216686890214972,0.5389544688026982,0.5213330553092834,0.5177514658251192
32,1.160912644509678,1.9311688125774424,0.7092258390959689,0.6892839287841258,0.5092477700846421,0.55305325426858,0.7092258390959689,0.7086291763184506,0.6982974521759194,0.5440134907251265,0.3860430162006934,0.3142768904370576,0.32770029089216274,0.5440134907251265,0.5239617149526772,0.5228730173247647
33,1.1146783202163615,1.9272950477497552,0.71622533310845,0.6917344359377589,0.5097146966470238,0.5517122905936518,0.71622533310845,0.7141131945402476,0.7043754054347175,0.5463743676222597,0.38007551685436625,0.3118518424314565,0.3231678359162692,0.5463743676222597,0.5284486171095456,0.524814356814814
34,1.0725985724489002,1.9336884624214583,0.7331759149940968,0.7221147542521327,0.5402725555769641,0.5869193711421749,0.7331759149940968,0.7319684522425095,0.72276042457523,0.5490725126475549,0.38166831353193065,0.32300097643880765,0.3358809440912274,0.5490725126475549,0.5280110395881314,0.5295556259887924
35,1.0485364868634472,1.9202571415132093,0.7411030527913645,0.7325033375564914,0.5610492362666187,0.6064775843218703,0.7411030527913645,0.7408858226441547,0.7321321871754809,0.5487352445193929,0.39575426968488475,0.32646908917604217,0.33969418571589766,0.5487352445193929,0.531089072712008,0.5291231235751677
36,1.0142437952226706,1.9207206592764905,0.744391971664699,0.7366673640884518,0.554457731754591,0.5997860655586773,0.744391971664699,0.7436586104290874,0.7344876366326075,0.5517706576728499,0.39149523812539994,0.32991728388570424,0.3410941044994033,0.5517706576728499,0.5325455777714797,0.5327100605729949
37,0.9760916069993433,1.9208552645098778,0.7553550345758138,0.7547306819302408,0.5710108621320565,0.6176736734494896,0.7553550345758138,0.7560116662487079,0.7464735555373521,0.5477234401349073,0.41318711074982023,0.33626499094973716,0.3528925645034911,0.5477234401349073,0.536643156503314,0.5313928488179039
38,0.9375912639490678,1.9136718537217827,0.7660651037274414,0.7773865213099164,0.5938869663698648,0.6414295813456009,0.7660651037274414,0.767013638908701,0.758223338593429,0.554468802698145,0.403551333354309,0.3360794129734036,0.35032577695345846,0.554468802698145,0.5364229788805984,0.5354712963633579
39,0.9101766732664442,1.9139684502796461,0.7712936414235115,0.778452601445174,0.6024638370771426,0.6506094510766021,0.7712936414235115,0.771889772721641,0.7636942020787448,0.5541315345699831,0.4103952206247575,0.34211532209737416,0.3576861915015705,0.5541315345699831,0.5399950506057161,0.5372871257823485
40,0.8712782516794385,1.9194133653435657,0.7831000168662506,0.8092306333929524,0.6276913260913232,0.6786798094193273,0.7831000168662506,0.7854759764502625,0.7766647976976528,0.5531197301854974,0.4050580720672278,0.3404928155960562,0.35474688477627014,0.5531197301854974,0.5373417993875058,0.5356556629613335
41,0.8424575511978643,1.9345839792682278,0.78655759824591,0.7911570629388337,0.62785506960256,0.6755282123442444,0.78655759824591,0.786877968529194,0.7802884184338592,0.5524451939291737,0.4077834546349972,0.33824424452331686,0.3533920185706379,0.5524451939291737,0.5348061508586637,0.5341740612083568
42,0.8133830472304815,1.9272771676381428,0.7955810423342891,0.8118850533122547,0.6485272914817304,0.6982900728037378,0.7955810423342891,0.7969134057944529,0.7900484797727859,0.5612141652613828,0.4046433662466559,0.34463341273158776,0.35762926222467545,0.5612141652613828,0.5436138499462291,0.5440640883946994
43,0.7834793740928655,1.9341932567217017,0.8038455051442065,0.8139190285354385,0.6588074620036737,0.7072916170250866,0.8038455051442065,0.8047472153640312,0.7985420684087184,0.5554806070826307,0.42585616538754384,0.3407585759010293,0.3604337968770405,0.5554806070826307,0.5451664160122516,0.5394697716022984
44,0.7735171698013728,1.9390683225406113,0.8046888176758307,0.816027705693743,0.662407115094573,0.7088988642350298,0.8046888176758307,0.8057173208159968,0.7998275735258852,0.5618887015177065,0.4217512839681773,0.34979589618681683,0.36742306928582835,0.5618887015177065,0.5494052379345916,0.5474723169200869
45,0.7282350710781437,1.927837614090212,0.8177601619160061,0.8256719415525835,0.6889767531238356,0.7357477497871284,0.8177601619160061,0.8188658797173721,0.8139336543645287,0.5595278246205734,0.42442642917585666,0.3544187068250899,0.37106549939770717,0.5595278246205734,0.5469575494346609,0.545556541402856
46,0.6971845978675184,1.9499353965123494,0.8266992747512228,0.8358815868556397,0.7043638647663634,0.7491924770954719,0.8266992747512228,0.8274773727662613,0.8229333512083439,0.5622259696458685,0.4457708044203662,0.3543669941672789,0.3766413558324627,0.5622259696458685,0.5542151618255811,0.5483685418499966
47,0.6783056396920726,1.9613381803676646,0.8333614437510541,0.8558855173978619,0.7131258501104416,0.7610471019985969,0.8333614437510541,0.8353651919872356,0.829702334734967,0.5585160202360877,0.4400499379680931,0.35872385764224046,0.3786274965517377,0.5585160202360877,0.5469540185786088,0.5440756399249971
48,0.6581912829146552,1.9648546211181148,0.8361443751054141,0.8478612820000786,0.7298262459680568,0.7714334548977516,0.8361443751054141,0.8368022942780853,0.8328951238489982,0.5608768971332209,0.4139473639892091,0.3535774282326694,0.3671106807294011,0.5608768971332209,0.5469675182256282,0.5453780949540661
49,0.6233910862406631,1.9692576354549778,0.8454208129532805,0.862762958384775,0.7406818438885687,0.7837533121300527,0.8454208129532805,0.8469048453163096,0.8426015310032812,0.5615514333895447,0.42899305202871935,0.36098248897369234,0.37742617822098723,0.5615514333895447,0.5522335100133878,0.5492576367652269
